"","Var1","Freq"
"1","Jun Lu",35
"2","Sanjeev Banerjee",29
"3","Wei Wang",27
"4","Yong Jian Wang",27
"5","Zi Feng Zhang",27
"6","Shao Hua Fan",26
"7","Xin Rui Han",26
"8","Wei Zhang",25
"9","Ying Wang",25
"10","Xin Wen",24
"11","Shan Wang",23
"12","Yan Li",23
"13","Tsuyoshi Takeda",22
"14","Ying Zhang",22
"15","Bin Hu",21
"16","Hideyuki Yamaguchi",21
"17","Qun Shan",21
"18","Yoshihiro Sato",21
"19","Dong Mei Wu",20
"20","Lei Wang",20
"21","Lei Zhang",20
"22","Li Wang",20
"23","Min Shen",20
"24","Rie Kawai",20
"25","Jing Zhang",19
"26","Joachim Boldt",19
"27","Meng Qiu Li",19
"28","Stanley Isaac Rapoport",19
"29","Taiki Hiyama",19
"30","Wei Li",19
"31","Wei Liu",19
"32","Yan Wang",19
"33","Emad Yahaghi",18
"34","Hirochika Kitagawa",18
"35","Hui Li",18
"36","Jie Zhang",18
"37","Nan Li",18
"38","Yang Li",18
"39","Yiwei Li",18
"40","Chun Hui Sun",17
"41","Kazuhiko Nakata",17
"42","Li Li",17
"43","Min Li",17
"44","Naoko Hase",17
"45","Rashmi Madhuri",17
"46","Ying Liu",17
"47","Liang Wang",16
"48","Xin Zhang",16
"49","Yang Yang",16
"50","Zhiwei Wang",16
"51","Erin Nicole Potts-Kant",15
"52","Jing Li",15
"53","Jing Wang",15
"54","Jun Wang",15
"55","Lili Wang",15
"56","Makio Mogi",15
"57","Bokyung Sung",14
"58","Dejuan Kong",14
"59","Fang Wang",14
"60","Gang Wang",14
"61","Hong Zhang",14
"62","Hui Wang",14
"63","Jian Xu",14
"64","Jie Liu",14
"65","Juan Zhuang",14
"66","Marcello Rota",14
"67","Mohammad Javed Ansari",14
"68","Taeko Okudaira",14
"69","Takehiro Matsuda",14
"70","Tao Wang",14
"71","Yang Liu",14
"72","Yu Wang",14
"73","Bo Wang",13
"74","Chie Ishikawa",13
"75","Ekta Roy",13
"76","Javad Javanbakht",13
"77","Jun Li",13
"78","Li Zhang",13
"79","Min Liu",13
"80","Min Zhang",13
"81","Stefan W Suttner",13
"82","Ali Tan Kee Zuan",12
"83","Bin Wang",12
"84","Bo Zhang",12
"85","Ikkou Higashimoto",12
"86","Jie Chen",12
"87","Meena Gujrati",12
"88","Meng Zhang",12
"89","Peter L Collins",12
"90","Ping Wang",12
"91","Qi Wang",12
"92","Sahdeo Prasad",12
"93","Shadan Ali",12
"94","Toru Hosoda",12
"95","Vivek R Yadav",12
"96","Xiang Li",12
"97","Yan Zhang",12
"98","Yu Zhang",12
"99","Yuetsu Tanaka",12
"100","Alvin Stein",11
"101","Andreas Lehmann",11
"102","Annarosa Leri",11
"103","Ayami Kondo",11
"104","Bernhard Kumle",11
"105","Bin Liu",11
"106","Christos A Damalas",11
"107","Dong Wang",11
"108","Ichiro Takada",11
"109","Jian Zhang",11
"110","John M Rhee",11
"111","Jose Barreto Campelo Carvalheira",11
"112","Jun Yang",11
"113","Kazuiku Ohshiro",11
"114","Ken Ichi Takeyama",11
"115","Lin Li",11
"116","Swen N Piper",11
"117","Yang Wang",11
"118","Bo Li",10
"119","Chao Zhang",10
"120","Christian Brosch",10
"121","Christopher S Gondi",10
"122","Domenico D'Amario",10
"123","Eduardo Rochete Ropelle",10
"124","Fei Wang",10
"125","James K Yeh Jun Iwamoto",10
"126","Jan Kajstura",10
"127","Jian Wang",10
"128","Jing Liu",10
"129","Juan Li",10
"130","Kaei Nasu",10
"131","Ling Wang",10
"132","Lu Wang",10
"133","Masakazu Nishida",10
"134","Masato Masuda",10
"135","Peng Zhang",10
"136","Ranran Shi",10
"137","Santo V Nicosia",10
"138","Wei Chen",10
"139","Xia Li",10
"140","Y Zhang",10
"141","Yan Liu",10
"142","Yang Zhang",10
"143","Yanling Wang",10
"144","Yi Liu",10
"145","Yong Zhang",10
"146","Yoshiaki Honda",10
"147","Yu Liu",10
"148","Aamir Ahmad",9
"149","Ali Mohammad Bahrami",9
"150","Azusa Seki",9
"151","Bo Yang",9
"152","Chao Li",9
"153","Dan Wang",9
"154","Dzung H Dinh",9
"155","Fang Liu",9
"156","Feng Zhang",9
"157","Gunter G Hempelmann Joachim Boldt",9
"158","Hirochika Kawakami",9
"159","J Wang",9
"160","J Zhang",9
"161","Jesus A Lemus",9
"162","Juan Du",9
"163","Juan Wang",9
"164","Jun Liu",9
"165","Junn Yanagisawa",9
"166","Kai Liu",9
"167","Li Xiong",9
"168","Licio Augusto Velloso",9
"169","Min Wang",9
"170","Qiang Zhang",9
"171","Rui Liu",9
"172","Sa Xiao",9
"173","Samuel K Kulp",9
"174","Tami Ueda",9
"175","Ting Wang",9
"176","Xi Chen",9
"177","Xiang Wang",9
"178","Xin Wang",9
"179","Y Li",9
"180","Yi Yang",9
"181","Ying Li",9
"182","Yong Liu",9
"183","Zane Orinska",9
"184","Carlo M Croce",8
"185","Chen Chen",8
"186","Clifford A Hudis",8
"187","Dan Liu",8
"188","Domenico Coppola",8
"189","Fazlul H Sarkar Zhiwei Wang",8
"190","Friedhelm F Dapper",8
"191","Fumihiro Sanada",8
"192","Gang Chen",8
"193","Gang Li",8
"194","Hao Xu",8
"195","Hao Zhang",8
"196","Harumoto Yamada",8
"197","Hisayuki Shigematsu",8
"198","Hui Zhang",8
"199","Ikuko Yamaoka",8
"200","Inge Czaja",8
"201","Jeffrey D Klopfenstein",8
"202","Jharna Datta",8
"203","Jia Liu",8
"204","Jian Yang",8
"205","Jie Li",8
"206","Jing Wu",8
"207","Jinseu Park",8
"208","Jun Ma",8
"209","Kalpana Ghoshal",8
"210","Li Liu",8
"211","Masaki Watanabe",8
"212","Ming Li",8
"213","Mitsuhiro Osame",8
"214","Narayan Shivapurkar",8
"215","Nobuyuki Takasu",8
"216","Philip A Philip",8
"217","Piero Anversa",8
"218","Qian Li",8
"219","Qian Zhang",8
"220","Qiang Li",8
"221","Qing Li",8
"222","Rong Wang",8
"223","Ryoji Fujiki",8
"224","Tao Li",8
"225","Tapan K Audhya",8
"226","Tingting Bi",8
"227","Wei Guo",8
"228","Xia Wu",8
"229","Yan Chen",8
"230","Yan Yang",8
"231","Yi Chen",8
"232","Yi Zhang",8
"233","Yu Chen",8
"234","Aram Mokarizadeh",7
"235","Behnam Pedram",7
"236","Bo Zhou",7
"237","Chao Liu",7
"238","Craig McFarlane",7
"239","Dong Chen",7
"240","Dong Li",7
"241","Ehsan Hosseini",7
"242","Elena Bulanova",7
"243","Gerard J Nuovo",7
"244","Giovanna Maria Pierantoni",7
"245","Hanqiao Zheng",7
"246","Hao Wang",7
"247","Jeff Schell",7
"248","Jian Li",7
"249","Jian Sun",7
"250","Jiang Liu",7
"251","Jie Wang",7
"252","Jie Yang",7
"253","Jing Chen",7
"254","Jinhua Dai",7
"255","Joseph R Nevins",7
"256","Jun Cao",7
"257","Jun Chen",7
"258","Jun Wu",7
"259","Kun Zhang",7
"260","Levy Kopelovich",7
"261","Li Zheng",7
"262","Ling Liu",7
"263","Lisa Chang",7
"264","Mariko Tomita",7
"265","Marion A Brach",7
"266","Miao Zhang",7
"267","Min Chen",7
"268","Ming Bai",7
"269","Moo Ho Won",7
"270","Na Liu",7
"271","Nilanjana Maulik",7
"272","Ning Wang",7
"273","Paul Dent",7
"274","Peng Liu",7
"275","Prashant K Sharma Santanu Patra",7
"276","Qian Zhao",7
"277","Qiang Wang",7
"278","Ralf Paus",7
"279","Ramaswamy Kannappan",7
"280","Roland H Mertelsmann",7
"281","Rui Chen",7
"282","Shunzeng Lv",7
"283","Sweaty Koul",7
"284","Takao Ohta",7
"285","Tao Zhang",7
"286","Tetsu Yano",7
"287","Wei Dai",7
"288","Wei Jiang",7
"289","Wei Wei",7
"290","Wei Xu",7
