"Record ID","RetractionDate","OriginalPaperDate"
41991,2022-12-28,2022-02-18
6436,2015-10-26,2012-01-19
26237,2021-02-23,2020-04-15
180,2014-08-05,2012-02-02
9293,2011-06-16,2011-05-06
34218,2021-11-17,2020-06-25
3050,2012-11-21,2007-04-25
6626,2007-07-16,2007-07-06
11138,2010-11-04,2010-10-22
11924,2010-09-07,2010-07-09
11915,2010-09-07,2010-07-09
11349,2010-06-07,2010-05-07
11894,2010-09-07,2010-07-09
21806,2019-12-16,2017-01-13
6437,2015-10-26,2012-02-12
18635,2012-10-01,2012-07-01
13621,2010-09-09,2010-07-17
6627,2007-07-16,2007-07-06
41699,2022-12-16,2021-11-06
37877,2022-06-14,2020-04-29
38928,2022-05-09,2017-10-23
41476,2022-11-01,2021-01-03
41615,2022-10-21,2021-04-09
9294,2011-06-16,2011-05-06
41625,2022-10-30,2021-04-03
41237,2022-10-30,2021-04-04
40418,2022-09-16,2020-10-30
35256,2021-12-15,2020-06-19
40748,2020-11-21,2020-11-21
20643,2019-06-01,2017-11-29
13676,2010-09-09,2010-07-17
22991,2020-03-26,2019-02-28
19519,2018-11-20,2018-03-21
40466,2022-09-20,2021-08-25
188,2015-11-30,2008-12-01
3796,2012-06-30,2010-04-21
5432,2008-05-02,2006-12-05
23134,2020-04-15,2012-09-09
23135,2020-04-15,2012-08-15
20113,2018-12-01,2018-04-16
41825,2022-05-07,2022-05-07
40810,2022-11-21,2021-01-04
13826,2010-12-06,2010-10-29
41915,2024-01-10,2020-01-06
41914,2023-01-10,2019-10-22
18152,2018-04-01,2016-12-15
3542,2005-01-11,1999-03-16
31783,2021-08-16,2020-10-17
4140,2014-06-23,2013-03-04
11028,2010-11-04,2010-10-22
40117,2019-12-10,2019-12-10
5899,2014-07-01,2012-09-12
11122,2010-05-06,2010-03-06
2655,2016-09-21,2012-09-16
11371,2010-11-04,2010-10-22
41814,2022-12-28,2019-01-19
37186,2022-05-09,2015-11-03
21660,2019-11-16,2019-10-30
12299,2010-09-07,2010-07-09
12300,2010-09-07,2010-07-09
6511,2007-07-16,2007-07-06
7200,2011-08-03,2006-10-01
39159,2022-09-20,2018-05-27
11641,2010-11-04,2010-10-22
5898,2014-07-01,2012-09-18
6885,2006-09-20,2004-12-01
7801,2009-12-28,2009-12-19
37983,2021-09-06,2020-12-09
11406,2010-07-29,2010-06-25
13148,2010-06-17,2010-04-16
37541,2022-05-23,2020-07-30
5910,2014-07-01,2010-12-09
40165,2022-10-04,2020-02-22
38072,2022-07-06,2021-05-24
36640,2022-03-31,2012-11-01
35901,2022-02-23,2021-03-25
35768,2022-02-23,2021-03-25
24201,2020-09-15,2019-10-31
24192,2020-09-15,2020-04-09
19639,2018-11-29,2015-06-02
18406,2018-05-02,2015-03-26
18407,2018-05-02,2015-04-25
11587,2010-11-04,2010-10-22
12587,2010-09-23,2010-08-10
12253,2010-09-07,2010-07-09
12635,2010-08-12,2010-06-12
13139,2010-06-17,2010-04-16
14963,2010-04-15,2010-03-28
40513,2022-09-23,2018-11-09
40254,2022-09-23,2020-07-03
39306,2022-09-12,2021-05-08
36178,2022-02-23,2021-03-25
34549,2021-12-06,2021-05-20
25142,2020-10-28,2019-12-12
26332,2018-03-30,2018-03-21
18553,2017-02-22,2010-03-10
5072,2012-06-01,2012-01-14
15960,2011-09-06,2011-08-08
12732,2011-01-17,2010-12-04
7839,2010-04-26,2009-12-26
7556,2009-09-04,2009-05-17
7555,2009-09-04,2009-05-17
