"Record ID","Author","Retraction Reason"
41991,"Guangdong Hu;Fengyuan Qian;Longgui Sha;Zilong Wei","+Fake Peer Review;+Investigation by Journal/Publisher;"
6436,"Aswini Kumar Mohanty;Manas Ranjan Senapati;Saroj Kumar Lenka","+Euphemisms for Plagiarism;+Investigation by Journal/Publisher;+Plagiarism of Text;"
26237,"Hassan Khan;Adnan Khan;Maysaa Al Qurashi;Dumitru Baleanu;Rasool Shah","+Plagiarism of Article;"
180,"Maoqiang Xie;TaeHyun Hwang;Rui Kuang","+Duplication of Article;+Euphemisms for Duplication;"
9293,"Xuejing Zhang","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
34218,"Wanni Mo","+Concerns/Issues about Referencing/Attributions;+Investigation by Journal/Publisher;+Investigation by Third Party;+Withdrawal;"
3050,"Elizabeth Glass;Alexis Rodriguez;Margaret Romine;Yi Zhang;Mark D'Souza;Dinanath Sulakhe;Mustafa Syed;Natalia Maltsev","+Breach of Policy by Author;"
6626,"Chun Cheng Zuo;Feng Ji;Ying Chen","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
11138,"Fenglin Gan;Xuening Zhou","+Notice - Limited or No Information;"
11924,"N Kanchana;S Sarala","+Notice - Limited or No Information;"
11915,"Shubhra Sankar Ray;Munia Bachhar;Sankar K Pal","+Notice - Limited or No Information;"
11349,"Qian Zhao;He Huang","+Notice - Limited or No Information;"
11894,"Shenglang Jin;Yongguang Yin","+Notice - Limited or No Information;"
21806,"Ujwal Chaudhary;Bin Xia;Stefano Silvoni;Leonardo G Cohen;Niels Birbaumer","+Concerns/Issues About Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Upgrade/Update of Prior Notice;"
6437,"Aswini Kumar Mohanty;Manas Senapati;Swapnasikta Beberta;Saroj Kumar Lenka","+Euphemisms for Plagiarism;+Investigation by Company/Institution;+Plagiarism of Article;"
18635,"Ting Wu Liu;Wen Jun Hu;Xiao Qin Wang;Li Niu;Bin Fu;Fei Hua Wu;Zhen Ming Pei;Hai Lei Zheng","+Concerns/Issues About Authorship;+Objections by Author(s);"
13621,"Song Bo;Deng Chen;Ma Xinglong;Li Fen","+Notice - Limited or No Information;"
6627,"Bin He;Peng Yu;Ji guang Yue","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
41699,"P Destarianto;K Agustianto;E Rosdiana;I G Wiryawan;E Mulyadi","+Randomly Generated Content;"
37877,"T Thomas Leonid;R Jayaparvathy","+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;"
38928,"M Parameswari;M Balasingh Moses","+Author Unresponsive;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;+Unreliable Results;"
41476,"C Amuthadevi;D S Vijayan;Varatharajan Ramachandran","+Author Unresponsive;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Objections by Author(s);+Rogue Editor;+Unreliable Results;"
41615,"Chong Huang","+Author Unresponsive;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;+Unreliable Results;"
9294,"M A Jun","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
41625,"Tingyu Fan;Shun Wang;Xingming Wang;Xiaoyang Chen","+Author Unresponsive;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;+Unreliable Results;"
41237,"Hong Wei","+Author Unresponsive;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;+Unreliable Results;"
40418,"Ning Li","+Fake Peer Review;+Investigation by Journal/Publisher;+Paper Mill;"
35256,"Yongyi Li;Zhongqiang Yang;Kaixu Han","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Paper Mill;"
40748,"Farhad Sakhaee","+Copyright Claims;+Date of Retraction/Other Unknown;+Withdrawal;"
20643,"Hu Zhen-Tao;Zepeng Wang","+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Fake Peer Review;+Plagiarism of Article;"
13676,"Yan Zhang;Jiayu Tian;Heng Liang;Jun Nan;Meilian Wang;Guibai Li","+Notice - Limited or No Information;"
22991,"Fabio Palomba;Andy Zaidman","+Error in Methods;+Unreliable Results;"
19519,"Sarah Hall-Swan;Jake Crawford;Rebecca Newman;Lenore J Cowen","+Error in Analyses;+Error in Results and/or Conclusions;"
40466,"T Edwin Ponraj;R V Siva Balan;K Vignesh","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Rogue Editor;+Unreliable Results;"
188,"Chandra Prakash Singh;Feroz Khan;Durg Singh Chauhan;Bhartendu Nath Mishra","+Investigation by Journal/Publisher;+Plagiarism of Text;"
3796,"Xiaobo Wang;Yongcui Wang;Yingjie Tian;Xiaojian Shao;Ling-Yun Wu;Naiyang Deng","+Error in Analyses;+Error in Results and/or Conclusions;"
5432,"Malin Allert;Mary A Dwyer;Homme W Hellinga","+Contamination of Cell Lines/Tissues;+Error in Analyses;+Error in Results and/or Conclusions;+Unreliable Results;"
23134,"Ali Nazari","+Duplication of Article;+Fake Peer Review;"
23135,"Ali Nazari;Shadi Riahi","+Duplication of Article;+Fake Peer Review;"
20113,"Masaji Watanabe;Fusako Kawai","+Notice - Limited or No Information;+Withdrawal;+Withdrawn to Publish in Different Journal;"
41825,"Jiangjuan Xing;Ryoichi Kurose;Kun Luo;Jianren Fan","+Euphemisms for Plagiarism;+Plagiarism of Article;"
40810,"Shalini Ramanathan;Mohan Ramasundaram","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Rogue Editor;+Unreliable Results;"
13826,"Da-zhong Li;Wen-jie Zhu","+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;"
41915,"Timothy J Kaufmann;Bradley J Erickson","+Cites Retracted Work;"
41914,"Chandan Ganesh Bangalore Yogananda;Bhavya R Shah;Maryam Vejdani-Jahromi;Sahil S Nalawade;Gowtham K Murugesan;Frank F Yu;Marco C Pinho;Benjamin C Wagner;Bruce Mickey;Toral R Patel;Baowei Fei;Ananth J Madhuranthakam;Joseph A Maldjian","+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;"
18152,"Gaurava K Rai;Rubina Lawrence","+Notice - Limited or No Information;+Withdrawal;"
3542,"Michael T Geraghty;Doug Bassett;James C Morrell;Gregory J Gatto, Jr;Jianwu Bai;Brian V Geisbrecht;Phil Hieter;Stephen J Gould","+Duplication of Image;+Error in Image;"
31783,"Nour Eldeen M Khalifa;Mohamed Hamed N Taha;Gunasekaran Manogaran;Mohamed Loey","+Fake Peer Review;+Rogue Editor;"
4140,"Saurav Basu;Kris N Dahl;Gustavo Kunde Rohde","+Concerns/Issues About Image;+Concerns/Issues about Referencing/Attributions;+Copyright Claims;+Investigation by Company/Institution;+Objections by Third Party;+Retract and Replace;"
11028,"Qiyun Zhang;Guoliang Xu;Bingtao Li;Xilan Tang;Liping Huang;Riyue Yu;Hongning Liu","+Notice - Limited or No Information;"
40117,"Hongyan Xu;Mohammad Karbalaei Akbari;Jie Hu;Francis Verpoort;Serge Zhuiykov","+Concerns/Issues About Results;+Date of Retraction/Other Unknown;"
5899,"Ching-Han Chen;Tun-Kai Yao;Chia-Ming Kuo;Chen-Yuan Peter Chen","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Misconduct by Author;"
11122,"Ning Wang;Shoubao Su","+Notice - Limited or No Information;"
2655,"JesÃºs Olivero;Ana L MÃ¡rquez;Raimundo Real","+Duplicate Publication through Error by Journal/Publisher;"
11371,"Changhong Zhou;Yuntao Zhang;Zhengjun Cheng","+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;"
41814,"Mohammed Al-Maitah","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Rogue Editor;+Unreliable Results;"
37186,"Jiang Shu;Kevin Chiang;Janos Zempleni;Juan Cui","+Breach of Policy by Author;+Concerns/Issues About Data;+Error in Methods;+Investigation by Journal/Publisher;+Unreliable Results;"
21660,"Jingyao Zeng;Na Yuan;Junwei Zhu;Mengyu Pan;Hao Zhang;Qi Wang;Shuo Shi;Zhenglin Du;Jingfa Xiao","+Lack of Approval from Third Party;"
12299,"Kavita Sharma;Amit Saxen;Neetu Gupta;Praveen Kumar;Rekha Singla","+Notice - Limited or No Information;"
12300,"Luwei Ding;Zhenhua Li","+Notice - Limited or No Information;"
6511,"Jing Xiang Zhang;Zhen Yuan Xu","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
7200,"Dong Hwa Kim;Jae Hoon Cho","+Duplication of Article;+Publishing Ban;"
39159,"Hong Li;Weibin Li","+Concerns/Issues About Data;+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Journal/Publisher;+Objections by Author(s);+Rogue Editor;+Unreliable Results;"
11641,"Chenhan Wu","+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;"
5898,"Ching-Han Chen;Wen-Xiang Wu;Chen-Yuan Peter Chen","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Misconduct by Author;"
6885,"JA Moreno Ruiz;M CantÃ³n GarbÃ­n","+Euphemisms for Plagiarism;+Plagiarism of Article;+Plagiarism of Text;"
7801,"Li Zhou;Hong quan Xie;Ting chen Jiang","+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;"
37983,"Asha Thapliyal;Manish Rawat;Sanjeev Kimothi","+Notice - Limited or No Information;+Withdrawal;"
11406,"Jingyi Tian;Yun Wang","+Investigation by Journal/Publisher;+Notice - Limited or No Information;"
13148,"Liu Changbing;Huang Wei","+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;"
37541,"P Geetha;C R Rene Robin","+Fake Peer Review;+Investigation by Journal/Publisher;+Rogue Editor;"
5910,"Meng-Lung Lin;Cheng-Wu Chen","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Misconduct by Third Party;"
40165,"Hui Fang Li;Luan Su","+Concerns/Issues about Referencing/Attributions;+Fake Peer Review;+Rogue Editor;+Unreliable Results;"
