Actual reason,New label,Freq,percentage
Notice - No/Limited Information,Other,589,1.554951292
Author Unresponsive,Publication Integrity,614,1.620950923
Bias Issues or Lack of Balance,Publication Integrity,24,0.063359645
Breach of Policy by Author,Ethical and Regulatory compliance issue,521,1.375432298
Breach of Policy by Third Party,Ethical and Regulatory compliance issue,4,0.010559941
Cites Retracted Work,Publication Integrity,65,0.171599039
Civil Proceedings,Other,18,0.047519734
Complaints about Author,Ethical and Regulatory compliance issue,26,0.068639616
Complaints about Company/Institution,Ethical and Regulatory compliance issue,2,0.00527997
Complaints about Third Party,Ethical and Regulatory compliance issue,5,0.013199926
Concerns/Issues about Authorship,Publication Integrity,454,1.198553288
Concerns/Issues about Data,Data Integrity,2061,5.44100953
Concerns/Issues about Image,Image Integrity,882,2.328466961
Concerns/Issues about Referencing/Attributions,Publication Integrity,214,0.564956836
Concerns/Issues about Results,Data Integrity,446,1.177433406
Concerns/Issues about Third Party Involvement,Ethical and Regulatory compliance issue,91,0.240238655
Conflict of Interest,Conflict of Interest,177,0.467277383
Contamination of Cell Lines/Tissues,Experiment or study quality Issue,90,0.237598669
Contamination of Materials (General),Experiment or study quality Issue,45,0.118799335
Contamination of Reagents,Experiment or study quality Issue,12,0.031679823
Copyright Claims,Publication Integrity,228,0.601916629
Criminal Proceedings,Ethical and Regulatory compliance issue,18,0.047519734
Date of Retraction/Other Unknown,Other,852,2.249267404
Doing the Right Thing,Other,52,0.137279231
Duplicate Publication through Error by Journal/Publisher,Publication Integrity,189,0.498957206
Duplication of Article,Publication Integrity,807,2.130468069
Duplication of Data,Data Integrity,421,1.111433776
Duplication of Image,Image Integrity,2437,6.433643972
Duplication of Text,Text Integrity,189,0.498957206
Error by Journal/Publisher,Publication Integrity,226,0.596636659
Error by Third Party,Experiment or study quality Issue,25,0.06599963
Error in Analyses,Data Integrity,461,1.217033185
Error in Cell Lines/Tissues,Study Quality Issue,71,0.18743895
Error in Data,Data Integrity,788,2.08030835
Error in Image,Image Integrity,519,1.370152327
Error in Materials (General),Study Quality Issue,110,0.290398374
Error in Methods,Study Quality Issue,483,1.275112859
Error in Results and/or Conclusions,Study Quality Issue,531,1.40183215
Error in Text,Text Integrity,157,0.414477679
Ethical Violations by Author,Ethical and Regulatory compliance issue,287,0.757675757
Ethical Violations by Third Party,Ethical and Regulatory compliance issue,20,0.052799704
Euphemisms for Duplication,Publication Integrity,245,0.646796378
Euphemisms for Misconduct,Publication Integrity,20,0.052799704
Euphemisms for Plagiarism,Text Integrity,523,1.380712268
Fake Peer Review,Publication Integrity,930,2.455186251
False Affiliation,Publication Integrity,42,0.110879379
FALSE/Forged Authorship,Publication Integrity,273,0.720715964
Falsification/Fabrication of Data,Data Integrity,718,1.895509385
Falsification/Fabrication of Image,Image Integrity,406,1.071833998
Falsification/Fabrication of Results,Data Integrity,52,0.137279231
Hoax Paper,Publication Integrity,3,0.007919956
Informed/Patient Consent - None/Withdrawn,Ethical and Regulatory compliance issue,59,0.155759128
Investigation by Company/Institution,Ethical and Regulatory compliance issue,1432,3.780458829
Investigation by Journal/Publisher,Ethical and Regulatory compliance issue,1817,4.796853138
Investigation by ORI,Ethical and Regulatory compliance issue,231,0.609836585
