Journal.name,n,X2022.JIF,X2022.JCI
2011 5th International Conference on Bioinformatics and Biomedical Engineering,754,NA,NA
PLoS One,476,3.7,0.91
The Journal of Biological Chemistry,377,4.8,0.87
European Review for Medical and Pharmacological Sciences,283,3.3,0.97
Arabian Journal of Geosciences,221,1.827,0.46
Journal of Cellular Biochemistry,214,4,0.67
2010 The 2nd Conference on Environmental Science and Information Application Technology,174,NA,NA
Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),171,3.65,NA
OncoTargets and Therapy,130,4,0.78
OncoTargets and Therapy,130,4,0.78
PNAS: Proceedings of the National Academy of Sciences of the United States of America,121,11.1,2.52
Journal of Cellular Physiology,113,5.6,1.12
Bioscience Reports,112,4,0.57
RSC Advances,109,3.9,0.6
Scientific Reports,108,4.6,1.06
Cellular Physiology and Biochemistry,104,5.5,NA
Molecular Medicine Reports,104,3.4,0.71
Molecular Medicine Reports,104,3.4,0.71
"Artificial Cells, Nanomedicine, and Biotechnology",83,4.5,0.903
Cancer Management and Research,83,3.3,0.63
Cell Cycle,80,4.3,0.59
Oncology Reports,78,2.9,0.56
Nature,74,64.8,11.43
Cancer Research,71,11.2,1.93
Life Sciences,70,6.1,1.43
Science,67,56.9,9.64
Biomedicine & Pharmacotherapy,64,7.5,1.62
Biochemical and Biophysical Research Communications (BBRC),62,3.1,0.72
Molecular Therapy - Nucleic Acids,59,8.8,NA
FASEB Journal : Official Publication of the Federation of American Societies for Experimental Biology,57,4.8,0.9
The Journal of Immunology : Official Journal of the American Association of Immunologists,55,4.4,NA
2010 2nd IITA International Conference on Geoscience and Remote Sensing,52,NA,NA
BioMed Research International,52,3.246,0.6
Engineering for Storage of Fruits and Vegetables,52,NA,NA
Experimental and Therapeutic Medicine,50,2.7,0.58
Gene Expression Patterns,48,1.2,0.32
The Journal of Clinical Investigation (JCI),46,15.9,3.68
Blood,45,20.3,3.16
Oncology Letters,44,2.9,0.56
Oncology Letters,44,2.9,0.56
Cell,42,64.5,9.52
2011 International Conference on Electric Technology and Civil Engineering: ICETCE 2011,41,NA,NA
IOP Conference Series: Materials Science and Engineering,41,NA,NA
Molecular and Cellular Biology,41,5.3,0.71
International Journal of Nanomedicine,39,8,1.31
Journal of Fundamental and Applied Sciences,39,0.6,0.12
Experimental and Molecular Pathology,37,3.6,1.24
Journal of Experimental & Clinical Cancer Research: (CR),37,11.3,2.06
Diagnostic Pathology,34,2.6,0.81
Journal of Molecular Structure,34,3.8,0.57
Molecular Biology Reports,34,2.8,0.43
International Journal of Cancer,33,6.4,1.33
Cell Death & Disease,32,9,1.21
Diabetes,32,7.7,1.69
International Journal of Clinical and Experimental Pathology,32,1.4,0.39
"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",31,NA,NA
Cancer Letters,31,9.7,1.83
Journal of Virology,31,5.4,1.05
Archives of Biological Sciences,30,0.8,0.21
International Journal of Oncology,30,5.2,0.99
Medical Science Monitor: International Medical Journal of Experimental and Clinical Research,30,3.1,0.823
FEBS letters,29,3.5,NA
Journal of Physics: Conference Series,28,NA,NA
Frontiers in Oncology,27,4.7,0.83
Frontiers in Oncology,27,4.7,0.83
The Journal of Neuroscience : The Official Journal of the Society for Neuroscience,27,5.3,NA
Cancer Cell International,26,5.8,1.12
Cancer Cell International,26,5.8,1.12
Circulation Research,26,20.1,NA
International Journal of Molecular Medicine,26,5.4,NA
Molecular Cancer,26,37.3,5.43
Molecular Cancer,26,37.3,5.43
