"","Journal","n"
"1","2007 1st International Conference on Bioinformatics and Biomedical Engineering, ICBBE",8
"2","2009 1st International Conference on Information Science and Engineering, ICISE",2
"3","2009 2nd International Conference on Education Technology and Training",1
"4","2009 2nd International Conference on Power Electronics and Intelligent Transportation System (PEITS)",1
"5","2009 3rd International Conference on Bioinformatics and Biomedical Engineering",7
"6","2009 5th International Conference on Natural Computation",2
"7","2009 International Conference on Computer Technology and Development",1
"8","2009 International Conference on Education Technology and Computer",1
"9","2009 International Conference on Environmental Science and Information Application Technology",2
"10","2009 International Conference on Information Engineering and Computer Science",1
"11","2009 International Conference on Management and Service Science",7
"12","2009 International Forum on Information Technology and Applications",6
"13","2009 WRI World Congress on Software Engineering",1
"14","2010 2nd IITA International Conference on Geoscience and Remote Sensing",52
"15","2010 2nd International Conference on Advanced Computer Control",3
"16","2010 2nd International Conference on Chemical, Biological and Environmental Engineering",1
"17","2010 2nd International Conference on Computer Engineering and Technology",9
"18","2010 2nd International Conference on Education Technology and Computer (ICETC)",2
"19","2010 2nd International Conference on Electronic Computer Technology (ICECT)",1
"20","2010 2nd International Conference on Future Computer and Communication (ICFCC)",1
"21","2010 2nd International Conference on Industrial and Information Systems",5
"22","2010 2nd International Conference on Information Engineering and Computer Science",1
"23","2010 2nd International Conference on Machine Learning and Computing",1
"24","2010 2nd International Conference on Mechanical and Electronics Engineering",2
"25","2010 3rd International Conference on Computer Science and Information Technology",12
"26","2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT)",9
"27","2010 4th International Conference on Bioinformatics and Biomedical Engineering",17
"28","2010 4th International Conference on Distance Learning and Education",1
"29","2010 6th International Conference on Natural Computation (ICNC)",2
"30","2010 Asia-Pacific Power and Energy Engineering Conference",12
"31","2010 IEEE International Conference on Advanced Management Science (ICAMS 2010)",12
"32","2010 IEEE International Conference on Advanced Management Science(ICAMS 2010)",1
"33","2010 IEEE International Conference on Intelligent Computing and Intelligent Systems",1
"34","2010 International Conference on Biomedical Engineering and Computer Science (ICBECS 2010)",1
"35","2010 International Conference on Computer Application and System Modeling (ICCASM 2010)",25
"36","2010 International Conference on Computer and Communication Technologies in Agriculture Engineering",10
"37","2010 International Conference on Computer, Mechatronics, Control and Electronic Engineering",1
"38","2010 International Conference on E-Business and E-Government",2
"39","2010 International Conference on E-Health Networking Digital Ecosystems and Technologies (EDT)",1
"40","2010 International Conference on Education and Management Technology",1
"41","2010 International Conference on Educational and Information Technology (ICEIT)",3
"42","2010 International Conference on Educational and Network Technology (ICENT)",2
"43","2010 International Conference on Environmental Engineering and Applications",2
"44","2010 International Conference on Future Information Technology and Management Engineering",2
"45","2010 International Conference on Internet Technology and Applications",1
"46","2010 International Conference on Management and Service Science",4
"47","2010 International Conference on Optics, Photonics and Energy Engineering (OPEE)",3
"48","2010 International Conference on e-Education, e-Business, e-Management and e-Learning",1
"49","2010 International Forum on Information Technology and Applications",1
"50","2010 Second International Workshop on Education Technology and Computer Science",11
"51","2010 The 2nd Conference on Environmental Science and Information Application Technology",174
"52","2011 11th IEEE International Conference on Nanotechnology",3
"53","2011 2nd IEEE International Conference on Emergency Management and Management Sciences",6
"54","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce",1
"55","2011 2nd International Conference on Mechanic Automation and Control Engineering",3
"56","2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",31
"57","2011 5th International Conference on Bioinformatics and Biomedical Engineering",754
"58","2011 IEEE Power Engineering and Automation Conference",6
"59","2011 International Conference on Computer and Management",1
"60","2011 International Conference on Consumer Electronics, Communications and Networks",9
"61","2011 International Conference on E-Business and E-Government (ICEE)",20
"62","2011 International Conference on Electric Information and Control Engineering",1
"63","2011 International Conference on Electric Technology and Civil Engineering: ICETCE 2011",41
"64","2011 International Conference on Electrical and Control Engineering",3
"65","2011 Seventh International Conference on Natural Computation",18
"66","2012 8th International Conference on Natural Computation",1
"67","2013 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering",4
"68","3 Biotech",2
"69","AAPP: Atti della Accademia Peloritana dei Pericolanti",1
"70","AAPS PharmSciTech",6
"71","ABCD: Arquivos Brasileiros de Cirurgia Digestiva",2
"72","ACS Applied Bio Materials",1
"73","ACS Applied Materials & Interfaces",9
"74","ACS Biomaterials Science & Engineering",4
"75","ACS Chemical Biology",2
"76","ACS Medicinal Chemistry Letters",2
"77","ACS Nano",3
"78","ACS Omega",8
"79","ACS Sustainable Chemistry & Engineering",3
"80","AIChE Journal",1
"81","AIDS",2
"82","AIDS Research and Human Retroviruses",4
"83","AIP Advances",1
"84","AMB Express",2
"85","APMIS: Acta Pathologica, Microbiologica, et Immunologica Scandinavica",4
"86","ARS Medica Tomitana",1
"87","ARYA Atherosclerosis",1
"88","Abdominal Imaging",1
"89","Abstract and Applied Analysis",1
"90","Academic Publicism (ÐÐºÐ°Ð´ÐµÐ¼Ð¸Ñ‡ÐµÑÐºÐ°Ñ ÐŸÑƒÐ±Ð»Ð¸Ñ†Ð¸ÑÑ‚Ð¸ÐºÐ°)",1
"91","Accident Analysis and Prevention",1
"92","Accident and Emergency Nursing",1
"93","Achievements of Modern Science: From Theory to Practice (Ð”Ð¾ÑÑ‚Ð¸Ð¶ÐµÐ½Ð¸Ñ Ð¡Ð¾Ð²Ñ€ÐµÐ¼ÐµÐ½Ð½Ð¾Ð¹ ÐÐ°ÑƒÐºÐ¸: ÐžÑ‚ Ð¢ÐµÐ¾Ñ€Ð¸Ð¸ Ðš ÐŸÑ€Ð°ÐºÑ‚Ð¸ÐºÐµ)",1
"94","Acta Agriculturae Scandinavica, Section B â€” Soil & Plant Science",2
"95","Acta Anaesthesiologica Scandinavica",5
"96","Acta Anaesthesiologica Taiwanica",1
"97","Acta Bio-Medica: Atenei Parmensis",1
"98","Acta Biochimica et Biophysica Sinica",3
"99","Acta Biomaterialia",13
"100","Acta Biotheoretica",1
"101","Acta Crystallographica. Section D, Biological Crystallography",2
"102","Acta Crystallographica. Section F, Structural Biology Communications",2
"103","Acta Dermatovenerologica Alpina, Pannonica et Adriatica",3
"104","Acta Gastro-Enterologica Belgica",1
"105","Acta Histochemica",3
"106","Acta Horticulturae",1
"107","Acta Medica Marisiensis",1
"108","Acta Medica Transilvanica",1
"109","Acta Myologica: Myopathies and Cardiomyopathies: Official Journal of the Mediterranean Society of Myology and Associazione Italiana di Miologia",1
"110","Acta Neurochirurgica",2
"111","Acta Neurologica Scandinavica",2
"112","Acta Neuropathologica Communications",4
"113","Acta Obstetricia et Gynecologica Scandinavica",1
"114","Acta Oncologica",1
"115","Acta Otolaryngologica",1
"116","Acta Parasitologica",1
"117","Acta Periodica Technologica",2
"118","Acta Pharmacologica Sinica",9
"119","Acta Physiologiae Plantarum",2
"120","Acta Radiologica",3
"121","Acta Scientiae Veterinariae",1
"122","Acta Tropica",2
"123","Actas Dermo-Sifiliograficas",1
"124","Actual Problems of Modern Forestry (ÐÐºÑ‚ÑƒÐ°Ð»ÑŒÐ½Ñ‹Ðµ ÐŸÑ€Ð¾Ð±Ð»ÐµÐ¼Ñ‹ Ð¡Ð¾Ð²Ñ€ÐµÐ¼ÐµÐ½Ð½Ð¾Ð³Ð¾ Ð›ÐµÑÐ¾Ð²Ð¾Ð´ÑÑ‚Ð²Ð°)",1
"125","Advanced Biomedical Research",1
"126","Advanced Drug Delivery Reviews",1
"127","Advanced Healthcare Materials",2
"128","Advanced Healthcare Matters",1
"129","Advanced Intelligent Systems",1
"130","Advanced Materials",2
"131","Advanced Materials Research",1
"132","Advanced Pharmaceutical Bulletin",1
"133","Advancements of Microbiology (PostÄ™py Mikrobiologii)",5
"134","Advances in Atmospheric Sciences",1
"135","Advances in Climate Change Research",1
"136","Advances in Difference Equations",1
