"","Var1","Freq"
"1"," Notice - No/Limited Information",589
"2","+Author Unresponsive",614
"3","+Bias Issues or Lack of Balance",24
"4","+Breach of Policy by Author",521
"5","+Breach of Policy by Third Party",4
"6","+Cites Retracted Work",65
"7","+Civil Proceedings",18
"8","+Complaints about Author",26
"9","+Complaints about Company/Institution",2
"10","+Complaints about Third Party",5
"11","+Concerns/Issues About Authorship",454
"12","+Concerns/Issues About Data",2061
"13","+Concerns/Issues About Image",882
"14","+Concerns/Issues about Referencing/Attributions",214
"15","+Concerns/Issues About Results",446
"16","+Concerns/Issues about Third Party Involvement",91
"17","+Conflict of Interest",177
"18","+Contamination of Cell Lines/Tissues",90
"19","+Contamination of Materials (General)",45
"20","+Contamination of Reagents",12
"21","+Copyright Claims",228
"22","+Criminal Proceedings",18
"23","+Date of Retraction/Other Unknown",852
"24","+Doing the Right Thing",52
"25","+Duplicate Publication through Error by Journal/Publisher",189
"26","+Duplication of Article",807
"27","+Duplication of Data",421
"28","+Duplication of Image",2437
"29","+Duplication of Text",189
"30","+Error by Journal/Publisher",226
"31","+Error by Third Party",25
"32","+Error in Analyses",461
"33","+Error in Cell Lines/Tissues",71
"34","+Error in Data",788
"35","+Error in Image",519
"36","+Error in Materials (General)",110
"37","+Error in Methods",483
"38","+Error in Results and/or Conclusions",531
"39","+Error in Text",157
"40","+Ethical Violations by Author",287
"41","+Ethical Violations by Third Party",20
"42","+Euphemisms for Duplication",245
"43","+Euphemisms for Misconduct",20
"44","+Euphemisms for Plagiarism",523
"45","+Fake Peer Review",930
"46","+False Affiliation",42
"47","+False/Forged Authorship",273
"48","+Falsification/Fabrication of Data",718
"49","+Falsification/Fabrication of Image",406
"50","+Falsification/Fabrication of Results",52
"51","+Hoax Paper",3
"52","+Informed/Patient Consent - None/Withdrawn",59
"53","+Investigation by Company/Institution",1432
"54","+Investigation by Journal/Publisher",1817
"55","+Investigation by ORI",231
"56","+Investigation by Third Party",1364
"57","+Lack of Approval from Author",191
"58","+Lack of Approval from Company/Institution",83
"59","+Lack of Approval from Third Party",118
"60","+Lack of IRB/IACUC Approval",206
"61","+Legal Reasons/Legal Threats",42
"62","+Manipulation of Images",896
"63","+Manipulation of Results",29
"64","+Miscommunication by Author",47
"65","+Miscommunication by Company/Institution",4
"66","+Miscommunication by Journal/Publisher",9
"67","+Miscommunication by Third Party",7
"68","+Misconduct - Official Investigation/Finding",698
"69","+Misconduct by Author",829
"70","+Misconduct by Company/Institution",5
"71","+Misconduct by Third Party",16
"72","+No Further Action",2
"73","+Nonpayment of Fees/Refusal to Pay",4
"74","+Not Presented at Conference",2
"75","+Notice - Lack of",106
"76","+Notice - Limited or No Information",1503
"77","+Notice - Unable to Access via current resources",85
"78","+Objections by Author(s)",239
"79","+Objections by Company/Institution",17
"80","+Objections by Third Party",411
"81","+Original Data not Provided",965
"82","+Paper Mill",1329
"83","+Plagiarism of Article",600
"84","+Plagiarism of Data",138
"85","+Plagiarism of Image",160
"86","+Plagiarism of Text",464
"87","+Publishing Ban",21
"88","+Randomly Generated Content",252
"89","+Results Not Reproducible",608
"90","+Retract and Replace",131
"91","+Rogue Editor",236
"92","+Sabotage of Materials",1
"93","+Salami Slicing",10
"94","+Taken from Dissertation/Thesis",35
"95","+Taken via Peer Review",2
"96","+Temporary Removal",5
"97","+Transfer of Copyright/Ownership",3
"98","+Unreliable Data",682
"99","+Unreliable Image",146
"100","+Unreliable Results",1738
"101","+Updated to Retraction",12
"102","+Upgrade/Update of Prior Notice",660
"103","+Withdrawal",692
"104","+Withdrawn (out of date)",5
"105","+Withdrawn to Publish in Different Journal",91
"106","Notice - No/Limited Information",18
